DAC, VSET, VOUT, IOUT
0 , 31.72 , 31.07106 , 1.745968
64 , 32.70486 , 32.00161 , 1.788937
128 , 33.75546 , 33.03369 , 1.826535
192 , 34.87858 , 34.08268 , 1.890989
256 , 36.08201 , 35.25116 , 1.933959
320 , 37.37469 , 36.50318 , 1.998413
384 , 38.76693 , 37.8398 , 2.073609
448 , 40.27069 , 39.29591 , 2.154177
512 , 41.89992 , 40.83556 , 2.224002
576 , 43.67102 , 42.52747 , 2.320683
640 , 45.60336 , 44.23737 , 2.422736
704 , 47.72 , 46.26768 , 2.524788
768 , 50.04864 , 48.46823 , 2.632212
832 , 52.6228 , 50.87075 , 2.745006
896 , 55.48348 , 53.54505 , 2.884993
960 , 58.68132 , 56.47313 , 3.046128
1023 , 62.22 , 59.02793 , 3.19115
